time,sample,family,O2
00:00:00,GC,A,50.1058951594867
00:00:01,GC,A,49.9219874263951
00:00:02,GC,A,50.2984464539634
00:00:03,GC,A,49.6163232939015
00:00:04,GC,A,49.7885240340512
00:00:05,GC,A,49.432282638934
00:00:06,GC,A,49.2240725289425
00:00:07,GC,A,49.6057881804718
00:00:08,GC,A,50.1551758834906
00:00:09,GC,A,49.2280173535482
00:00:10,GC,A,49.2918907067971
00:00:11,GC,A,49.8912034279178
00:00:12,GC,A,49.213815094037
00:00:13,GC,A,49.6954503202741
00:00:14,GC,A,48.9884135901378
00:00:15,GC,A,48.4040448964082
00:00:16,GC,A,48.6258869373738
00:00:17,GC,A,48.7101114588415
00:00:18,GC,A,48.3984964729902
00:00:19,GC,A,48.9681099780577
00:00:20,GC,A,49.1691309342893
00:00:21,GC,A,48.4109483059355
00:00:22,GC,A,48.6752645119011
00:00:23,GC,A,47.9355479815019
00:00:24,GC,A,48.9128458909725
00:00:25,GC,A,48.6831042138021
00:00:26,GC,A,47.995217367463
00:00:27,GC,A,47.9802889968478
00:00:28,GC,A,48.0637961022824
00:00:29,GC,A,48.2140174036241
00:00:30,GC,A,48.0456062178512
00:00:31,GC,A,47.7977089696076
00:00:32,GC,A,48.1636188988144
00:00:33,GC,A,47.9861328541861
00:00:34,GC,A,48.1087503187977
00:00:35,GC,A,48.0408102377995
00:00:36,GC,A,48.0339603937966
00:00:37,GC,A,48.0229246946845
00:00:38,GC,A,47.3567890700805
00:00:39,GC,A,48.1185037239434
00:00:40,GC,A,48.2053043484725
00:00:41,GC,A,47.9958806364893
00:00:42,GC,A,47.9854572194783
00:00:43,GC,A,47.8506470903036
00:00:44,GC,A,47.086831867722
00:00:45,GC,A,48.1457667296151
00:00:46,GC,A,47.6853756050036
00:00:47,GC,A,47.6789748399034
00:00:48,GC,A,47.3351383762939
00:00:49,GC,A,47.0793967043613
00:00:50,GC,A,47.6320511173147
00:00:51,GC,A,47.8948352929885
00:00:52,GC,A,47.6242001131916
00:00:53,GC,A,46.7543071305245
00:00:54,GC,A,47.543561992973
00:00:55,GC,A,47.5197108757665
00:00:56,GC,A,46.6734443144914
00:00:57,GC,A,46.8429376494239
00:00:58,GC,A,47.4484937703395
00:00:59,GC,A,46.9566386198841
00:01:00,GC,A,46.6281131935581
00:01:01,GC,A,46.3967742016872
00:01:02,GC,A,47.4337050808054
00:01:03,GC,A,46.7048152957562
00:01:04,GC,A,47.1654524629513
00:01:05,GC,A,46.6277438404605
00:01:06,GC,A,47.2598046347193
00:01:07,GC,A,46.2585085702812
00:01:08,GC,A,46.5086987305243
00:01:09,GC,A,46.2203956264872
00:01:10,GC,A,46.8076022489855
00:01:11,GC,A,46.973432073927
00:01:12,GC,A,45.9057645197071
00:01:13,GC,A,46.8371694699964
